Input,Target,No.,Expression
"A 58-year-old female patient presented to the emergency department with complaints of chest pain and shortness of breath. Upon admission, an electrocardiogram (ECG) was performed, revealing ST-segment depressions in leads II, III. Further evaluation with echocardiography revealed findings consistent with inferolateral , inferior and mid septal hypokinesis, indicating impaired movement of the inferior and lateral walls of the left ventricle during systole.","A 58-year-old female patient presented to the emergency department with complaints of chest pain and shortness of breath. Upon admission, an electrocardiogram (ECG) was performed, revealing ST-segment depressions in lead II, ST-segment depressions in lead III. Further evaluation with echocardiography revealed findings consistent with inferolateral hypokinesis, inferior hypokinesis, mid septal hypokinesis, indicating impaired movement of the inferior and lateral walls of the left ventricle during systole.",2,"ST-segment depressions in leads II, III;
inferolateral , inferior and mid septal hypokinesis;"
"a 32-year-old female, was brought to the emergency department following a motor vehicle accident. Upon assessment, she complained of severe pain in her right shoulder and left hip. Physical examination revealed tenderness, swelling, and injuries in hip and shoulder, suggestive of injuries. Further evaluation with imaging studies confirmed fractures in the proximal humerus of the right shoulder and the acetabulum of the left hip. Additionally, there were signs of soft tissue injuries and contusions surrounding the affected areas.","a 32-year-old female, was brought to the emergency department following a motor vehicle accident. Upon assessment, she complained of severe pain in her right shoulder and pain in her left hip. Physical examination revealed tenderness in hip, swelling in hip, and injuries in hip and tenderness in shoulder, swelling in shoulder, and injuries in shoulder, suggestive of injuries. Further evaluation with imaging studies confirmed fractures in the proximal humerus of the right shoulder and the acetabulum of the left hip. Additionally, there were signs of soft tissue injuries and contusions surrounding the affected areas.",2,"severe pain in her right shoulder and left hip.;
tenderness, swelling, and injuries in hip and shoulder"
"a 45-year-old woman, presented to the emergency department complaining of persistent pain in r arm and hip. She reported that the pain had gradually worsened over the past week and was now severe enough to interfere with her daily activities. Jennifer described the pain as sharp and stabbing, especially when she tried to move her arm or bear weight on her right hip. Upon physical examination, tenderness and swelling were noted in shoulder and hip.","a 45-year-old woman, presented to the emergency department complaining of persistent pain in r arm, pain in r hip. She reported that the pain had gradually worsened over the past week and was now severe enough to interfere with her daily activities. Jennifer described the pain as sharp and stabbing, especially when she tried to move her arm or bear weight on her right hip. Upon physical examination, tenderness were noted in shoulder and swelling were noted in shoulder and tenderness were noted in hip, swelling were noted in hip.",2,"pain in r arm and hip; 
tenderness and swelling were noted in shoulder and hip."
"Mr. Johnson, a 58-year-old male, was admitted to the hospital with complaints of significant swelling in lower extremities and scrotum. He reported that the swelling had gradually developed over the past few weeks and had become increasingly uncomfortable, making it difficult for him to walk or perform daily activities. Upon examination, we noted significant lower extremity and scrotum edema. The swelling was tender to palpation, with the skin appearing stretched and shiny.","Mr. Johnson, a 58-year-old male, was admitted to the hospital with complaints of swelling in lower extremities and swelling in scrotum. He reported that the swelling had gradually developed over the past few weeks and had become increasingly uncomfortable, making it difficult for him to walk or perform daily activities. Upon examination, we noted significant lower extremity edema, significant scrotum edema. The swelling was tender to palpation, with the skin appearing stretched and skin appearing shiny.",3,"swelling in lower extremities and scrotum; 
significant lower extremity and scrotum edema;  
skin appearing stretched and shiny."
"a 35-year-old female, presented to the emergency department with complaints of pain and swelling in her left forearm and right lower leg. Upon examination, she was found with the left forearm and right lower leg wound. On the right lower leg, there was an abrasion measuring about 3 cm in diameter, with surrounding erythema and mild swelling. Ms. Smith recalled injuring her leg while gardening earlier in the day. The wound was cleaned with antiseptic solution, and a topical antibiotic ointment was applied.","a 35-year-old female, presented to the emergency department with complaints of pain in her left forearm and swelling in her left forearm and pain in her right lower leg, swelling in her right lower leg. Upon examination, she was found with the left forearm wound, right lower leg wound. On the right lower leg, there was an abrasion measuring about 3 cm in diameter, with surrounding erythema and mild swelling. Ms. Smith recalled injuring her leg while gardening earlier in the day. The wound was cleaned with antiseptic solution, and a topical antibiotic ointment was applied.",2,"pain and swelling in her left forearm and right lower leg; 
left forearm and right lower leg wound;"
"a 55-year-old male with a history of liver cirrhosis, was found to have a decreased and sluggish flow within the right and left hepatic veins. This finding was concerning as it indicated possible impairment in the liver's blood drainage system. Further investigation revealed signs of portal hypertension, including splenomegaly and dilated portal veins. Given his medical history and the presence of these abnormalities, Mr. Johnson was referred to a hepatologist for a comprehensive evaluation and management plan.","a 55-year-old male with a history of liver cirrhosis, was found to have a decreased flow within left hepatic veins, decreased flow within right hepatic veins, sluggish flow within left hepatic veins, sluggish flow within right hepatic veins. This finding was concerning as it indicated possible impairment in the liver's blood drainage system. Further investigation revealed signs of portal hypertension, including splenomegaly and dilated portal veins. Given his medical history and the presence of these abnormalities, Mr. Johnson was referred to a hepatologist for a comprehensive evaluation and management plan.",1,decreased and sluggish flow within the right and left hepatic veins
"During a routine prenatal ultrasound examination, abnormalities were detected in the developing fetus, including facial, limb, and genital anomalies. These findings raised concerns about potential genetic or developmental disorders affecting multiple organ systems. Further evaluation, including genetic testing and detailed fetal imaging studies, was recommended to determine the underlying cause and assess the severity of the abnormalities. ","During a routine prenatal ultrasound examination, abnormalities were detected in the developing fetus, including facial abnormalities, limb abnormalities, genital abnormalities. These findings raised concerns about potential genetic or developmental disorders affecting multiple organ systems. Further evaluation, including genetic testing and detailed fetal imaging studies, was recommended to determine the underlying cause and assess the severity of the abnormalities. ",1,"facial, limb, and genital anomalies"
"A patient presented to the hospital with a complex medical history involving multiple tumors and associated symptoms. Imaging studies revealed the presence of retinal, cerebellar and spinal haemangioblastomas, renal cell carcinoma and phaeochromocytoma, further supporting the diagnosis of VHL syndrome. Given the diverse range of tumors affecting different organ systems, a comprehensive management plan was developed in collaboration with various specialists including neurosurgeons, oncologists, and urologists. ","A patient presented to the hospital with a complex medical history involving multiple tumors and associated symptoms. Imaging studies revealed the presence of retinal haemangioblastoma, cerebellar haemangioblastoma, spinal haemangioblastoma, renal cell carcinoma, phaeochromocytoma, further supporting the diagnosis of VHL syndrome. Given the diverse range of tumors affecting different organ systems, a comprehensive management plan was developed in collaboration with various specialists including neurosurgeons, oncologists, and urologists. ",1,"retinal, cerebellar and spinal haemangioblastomas"
"A patient was admitted to the hospital with symptoms suggestive of diabetes mellitus. Upon further evaluation, it was determined that the patient had elevated blood glucose levels consistent with diabetes. Subsequent diagnostic tests revealed that the patient had either Type i or Type ii diabetes, depending on the specific characteristics of their condition. ","A patient was admitted to the hospital with symptoms suggestive of diabetes mellitus. Upon further evaluation, it was determined that the patient had elevated blood glucose levels consistent with diabetes. Subsequent diagnostic tests revealed that the patient had either Type i diabetes, Type ii diabetes depending on the specific characteristics of their condition. ",1,Type i or Type ii diabetes
"During a routine health check-up, a patient presented with symptoms suggestive liver or renal disfunction, including fatigue, abdominal discomfort, and changes in urinary patterns. Further investigation through laboratory tests revealed abnormalities in liver function markers such as elevated liver enzymes and bilirubin levels, indicating possible liver dysfunction. ","During a routine health check-up, a patient presented with symptoms suggestive liver disfunction, renal disfunction, including fatigue, abdominal discomfort, and changes in urinary patterns. Further investigation through laboratory tests revealed abnormalities in liver function markers such as elevated liver enzymes and elevated bilirubin levels, indicating possible liver dysfunction. ",2,"liver or renal disfunction; 
elevated liver enzymes and bilirubin levels"
"Laboratory tests were conducted, including liver function tests and viral hepatitis serology. The results indicated elevated liver enzymes and positive serological markers for b and c hepatitis. Further investigation with viral load testing confirmed active viral replication for both hepatitis B and C. The patient was counseled on the modes of transmission and potential complications associated with chronic hepatitis infections, including liver cirrhosis and hepatocellular carcinoma.","Laboratory tests were conducted, including liver function tests and viral hepatitis serology. The results indicated elevated liver enzymes and positive serological markers for b hepatitis, c hepatitis. Further investigation with viral load testing confirmed active viral replication for both hepatitis B, hepatitis C. The patient was counseled on the modes of transmission and potential complications associated with chronic hepatitis infections, including liver cirrhosis and hepatocellular carcinoma.",2,"b and c hepatitis; 
hepatitis B and C"
"The patient presented with a complex medical history characterized by a combination of cardiovascular and respiratory disease. Past medical records indicated a diagnosis of chronic obstructive pulmonary disease (COPD), with a long-standing history of tobacco smoking as a significant contributing factor. Additionally, the patient had a history of hypertension and hyperlipidemia, which increased their risk for cardiovascular events.","The patient presented with a complex medical history characterized by a combination of cardiovascular disease, respiratory disease. Past medical records indicated a diagnosis of chronic obstructive pulmonary disease (COPD), with a long-standing history of tobacco smoking as a significant contributing factor. Additionally, the patient had a history of hypertension and hyperlipidemia, which increased their risk for cardiovascular events.",1,cardiovascular and respiratory disease
"The imaging results revealed significant abnormalities in the patient's vascular system, particularly involving proximal descending arch or aorta. There were indications of structural anomalies and potential pathology in these regions, warranting further investigation and clinical management. Given the critical nature of these findings, the patient was scheduled for additional diagnostic tests, including computed tomography angiography (CTA","The imaging results revealed significant abnormalities in the patient's vascular system, particularly involving the descending arch or descending aorta. There were indications of structural anomalies and potential pathology in these regions, warranting further investigation and clinical management. Given the critical nature of these findings, the patient was scheduled for additional diagnostic tests, including computed tomography angiography (CTA",1,descending arch or aorta
"The patient presented with concerning symptoms suggestive of gynecological malignancies, prompting further investigation into potential underlying pathologies. Diagnostic imaging and biopsy results revealed evidence of abnormal tissue growth consistent with endometrial or epithelial ovarian cancer. These findings raised significant clinical concerns regarding the stage, extent, and aggressiveness of the disease, necessitating a multidisciplinary approach to treatment planning. The medical team discussed various therapeutic options, including surgery, chemotherapy, and radiation therapy","The patient presented with concerning symptoms suggestive of gynecological malignancies, prompting further investigation into potential underlying pathologies. Diagnostic imaging and biopsy results revealed evidence of abnormal tissue growth consistent with endometrial ovarian cancer, epithelial ovarian cancer. These findings raised significant clinical concerns regarding the stage, extent, and aggressiveness of the disease, necessitating a multidisciplinary approach to treatment planning. The medical team discussed various therapeutic options, including surgery, chemotherapy, and radiation therapy",1,endometrial or epithelial ovarian cancer
"The patient presented with cervical, thoracic, or lumbar facet or sacroiliac joint pain. These symptoms raised concerns regarding potential musculoskeletal pathology, prompting further evaluation and diagnostic procedures. Physical examination, imaging studies such as X-rays or MRI scans, and possibly diagnostic injections were planned to identify the precise source and nature of the pain. ","The patient presented with cervical joint pain, thoracic joint pain, lumbar facet joint pain, sacroiliac joint pain. These symptoms raised concerns regarding potential musculoskeletal pathology, prompting further evaluation and diagnostic procedures. Physical examination, imaging studies such as X-rays or MRI scans, and possibly diagnostic injections were planned to identify the precise source and nature of the pain. ",1,"cervical, thoracic, or lumbar facet or sacroiliac joint pain"
"The patient's medical history revealed symptoms consistent with mitral and/or aortic valve disease, indicating potential dysfunction or pathology affecting these critical components of the cardiovascular system. Further diagnostic assessment, including echocardiography and cardiac imaging, was warranted to evaluate the severity and extent of valve impairment. ","The patient's medical history revealed symptoms consistent with mitral valve disease, aortic valve disease, indicating potential dysfunction or pathology affecting these critical components of the cardiovascular system. Further diagnostic assessment, including echocardiography and cardiac imaging, was warranted to evaluate the severity and extent of valve impairment. ",1,mitral and/or aortic valve disease
"After experiencing persistent fatigue, abdominal discomfort, and noticing abnormal results on recent liver function tests, the patient sought medical attention. These symptoms raised concerns about potential liver pathology, prompting further investigation. The patient presented with symptoms suggestive of hepatitis B or C infection, including fatigue, abdominal discomfort, and abnormal liver function test results","After experiencing persistent fatigue, abdominal discomfort, and noticing abnormal results on recent liver function tests, the patient sought medical attention. These symptoms raised concerns about potential liver pathology, prompting further investigation. The patient presented with symptoms suggestive of Hepatitis B infection, Hepatitis C infection, including fatigue, abdominal discomfort, and abnormal liver function test results",1,hepatitis B or C infection
"The patient's medical history revealed a long-standing chronic hepatic or hematologic illness, characterized by persistent abnormalities in liver function tests or blood counts over an extended period. Symptoms such as fatigue, jaundice, easy bruising, or recurrent infections were reported, indicating ongoing impairment of hepatic or hematologic function. Close monitoring and management of the underlying condition were necessary to prevent complications and maintain optimal health","The patient's medical history revealed a long-standing chronic hepatic illness, chronic hematologic illness, characterized by persistent abnormalities in liver function tests or abnormalities in blood counts over an extended period. Symptoms such as fatigue, jaundice, easy bruising, or recurrent infections were reported, indicating ongoing impairment of hepatic function or hematologic function. Close monitoring and management of the underlying condition were necessary to prevent complications and maintain optimal health",3,"hepatic or hematologic illness;
abnormalities in liver function tests or blood counts;
hepatic or hematologic function"
"The patient complained of symptoms consistent with an upper respiratory tract or sinus infection, including nasal congestion, sinus pressure, sore throat, and occasional coughing. These symptoms had persisted for several days, accompanied by mild fatigue and malaise. Upon examination, there was evidence of nasal congestion, postnasal drip, and mild erythema of the throat. Given the clinical presentation, a diagnosis of an upper respiratory tract or sinus infection was suspected, and supportive measures along with appropriate medication were recommended for symptomatic relief and resolution of the infection.","The patient complained of symptoms consistent with an upper respiratory tract infection, upper respiratory sinus infection, including nasal congestion, sinus pressure, sore throat, and occasional coughing. These symptoms had persisted for several days, accompanied by mild fatigue and malaise. Upon examination, there was evidence of nasal congestion, postnasal drip, and mild erythema of the throat. Given the clinical presentation, a diagnosis of an upper respiratory tract or sinus infection was suspected, and supportive measures along with appropriate medication were recommended for symptomatic relief and resolution of the infection.",1,upper respiratory tract or sinus infection
"The oncologist discussed the potential risks associated with certain types of cancers, particularly penile, oral, or anal cancers, which are often linked to specific behaviors or infections. They emphasized the importance of regular screenings and preventive measures, such as vaccination against human papillomavirus (HPV) for oral and anal cancers and promoting safe sexual practices to reduce the risk of penile cancer. Additionally, they highlighted the significance of early detection and prompt treatment for better prognosis and outcomes in managing these types of cancers.","The oncologist discussed the potential risks associated with certain types of cancers, particularly penile cancers, oral cancers, anal cancers, which are often linked to specific behaviors or infections. They emphasized the importance of regular screenings and preventive measures, such as vaccination against human papillomavirus (HPV) for oral cancers and anal cancers and promoting safe sexual practices to reduce the risk of penile cancer. Additionally, they highlighted the significance of early detection and prompt treatment for better prognosis and outcomes in managing these types of cancers.",2,"penile, oral, or anal cancers;
oral and anal cancers"
"Following the patient's sudden onset of slurred speech and weakness on one side of the body, the neurologist diagnosed them with a cerebral vascular accident/stroke. This diagnosis was confirmed through imaging studies revealing an ischemic or hemorrhagic lesion in the brain. The medical team immediately initiated treatment protocols aimed at restoring blood flow to the affected area and preventing further neurological damage. Additionally, they emphasized the importance of rehabilitation therapies to aid in the patient's recovery and minimize long-term disabilities associated with stroke.","Following the patient's sudden onset of slurred speech and weakness on one side of the body, the neurologist diagnosed them with a cerebral vascular accident, cerebral vascular stroke. This diagnosis was confirmed through imaging studies revealing an ischemic lesion or hemorrhagic lesion in the brain. The medical team immediately initiated treatment protocols aimed at restoring blood flow to the affected area and preventing further neurological damage. Additionally, they emphasized the importance of rehabilitation therapies to aid in the patient's recovery and minimize long-term disabilities associated with stroke.",2,"cerebral vascular accident/stroke;
ischemic or hemorrhagic lesion"
"The patient presented with classic symptoms of diabetes mellitus, including increased thirst, frequent urination, and unexplained weight loss. After conducting comprehensive diagnostic tests, the endocrinologist confirmed a diagnosis of either Type I or Type II diabetes mellitus, depending on the patient's age, medical history, and insulin production. Treatment was initiated promptly, focusing on blood sugar management, lifestyle modifications, and medication therapy tailored to the specific type of diabetes diagnosed.","The patient presented with classic symptoms of diabetes mellitus, including increased thirst, frequent urination, and unexplained weight loss. After conducting comprehensive diagnostic tests, the endocrinologist confirmed a diagnosis of either Type II diabetes mellitus, Type I diabetes mellitus, depending on the patient's age, medical history, and insulin production. Treatment was initiated promptly, focusing on blood sugar management, lifestyle modifications, and medication therapy tailored to the specific type of diabetes diagnosed.",1,Type I or Type II diabetes mellitus
"The patient presented with persistent back pain. Upon physical examination and imaging studies, the orthopedic specialist identified tenderness and restricted range of motion in the facet joints or sacroiliac joint. The pain was exacerbated by certain movements, prolonged sitting, or standing for extended periods. After ruling out other potential causes of back pain, such as disc herniation or spinal stenosis, a diagnosis of thoracic, lumbar facet, or sacroiliac joint pain was established. ","The patient presented with persistent back pain. Upon physical examination and imaging studies, the orthopedic specialist identified tenderness in the facet joints and restricted range of motion in the facet joints or tenderness in the sacroiliac joint, restricted range of motion in the sacroiliac joint. The pain was exacerbated by certain movements, prolonged sitting, or standing for extended periods. After ruling out other potential causes of back pain, such as disc herniation stenosis or spinal stenosis, a diagnosis of thoracic joint pain, lumbar facet joint pain, sacroiliac joint pain was established. ",3,"tenderness and restricted range of motion in the facet joints or sacroiliac joint.;
herniation or spinal stenosis;
thoracic, lumbar facet, or sacroiliac joint pain"
